stadt,bundesland,anteil
Norderstedt,Schleswig-Holstein,100.0
Delmenhorst,Niedersachsen,64.0
Bamberg,Bayern,60.0
Viersen,Nordrhein-Westfalen,22.6
Marburg,Hessen,58.0
Rheine,Nordrhein-Westfalen,22.6
Wilhelmshaven,Niedersachsen,64.0
Gladbeck,Nordrhein-Westfalen,22.6
Lüneburg,Niedersachsen,64.0
Troisdorf,Nordrhein-Westfalen,22.6
Dorsten,Nordrhein-Westfalen,22.6
Bayreuth,Bayern,60.0
Detmold,Nordrhein-Westfalen,22.6
Arnsberg,Nordrhein-Westfalen,22.6
Castrop-Rauxel,Nordrhein-Westfalen,22.6
Lüdenscheid,Nordrhein-Westfalen,22.6
Landshut,Bayern,60.0
Brandenburg,Brandenburg,90.1
Bocholt,Nordrhein-Westfalen,22.6
Aschaffenburg,Bayern,60.0
Celle,Niedersachsen,64.0
Kempten,Bayern,60.0
Fulda,Hessen,58.0
Aalen,Baden-Württemberg,34.0
Lippstadt,Nordrhein-Westfalen,22.6
Dinslaken,Nordrhein-Westfalen,22.6
Herford,Nordrhein-Westfalen,22.6
Kerpen,Nordrhein-Westfalen,22.6
Weimar,Thüringen,63.9
Plauen,Sachsen,9.0
Sindelfingen,Baden-Württemberg,34.0
Neuwied,Rheinland-Pfalz,37.3
Dormagen,Nordrhein-Westfalen,22.6
Neubrandenburg,Mecklenburg-Vorpommern,100.0
Grevenbroich,Nordrhein-Westfalen,22.6
Rosenheim,Bayern,60.0
Herten,Nordrhein-Westfalen,22.6
Bergheim,Nordrhein-Westfalen,22.6
Schwäbisch Gmünd,Baden-Württemberg,34.0
Coburg,Bayern,60.0
Friedrichshafen,Baden-Württemberg,34.0
Garbsen,Niedersachsen,64.0
Wesel,Nordrhein-Westfalen,22.6
Hürth,Nordrhein-Westfalen,22.6
Offenburg,Baden-Württemberg,34.0
Stralsund,Mecklenburg-Vorpommern,100.0
Greifswald,Mecklenburg-Vorpommern,100.0
Langenfeld,Nordrhein-Westfalen,22.6
Neu-Ulm,Bayern,60.0
Unna,Nordrhein-Westfalen,22.6
Euskirchen,Nordrhein-Westfalen,22.6
Frankfurt (Oder),Brandenburg,90.1
Göppingen,Baden-Württemberg,34.0
Hameln,Niedersachsen,64.0
Stolberg,Nordrhein-Westfalen,22.6
Eschweiler,Nordrhein-Westfalen,22.6
Görlitz,Sachsen,9.0
Meerbusch,Nordrhein-Westfalen,22.6
Sankt Augustin,Nordrhein-Westfalen,22.6
Hilden,Nordrhein-Westfalen,22.6
Waiblingen,Baden-Württemberg,34.0
Baden-Baden,Baden-Württemberg,34.0
Langenhagen,Niedersachsen,64.0
Hattingen,Nordrhein-Westfalen,22.6
Lingen,Niedersachsen,64.0
Bad Homburg,Hessen,58.0
Bad Salzuflen,Nordrhein-Westfalen,22.6
Pulheim,Nordrhein-Westfalen,22.6
Schweinfurt,Bayern,60.0
Nordhorn,Niedersachsen,64.0
Neustadt,Rheinland-Pfalz,37.3
Wetzlar,Hessen,58.0
Ahlen,Nordrhein-Westfalen,22.6
Frechen,Nordrhein-Westfalen,22.6
Passau,Bayern,60.0
Wolfenbüttel,Niedersachsen,64.0
Ibbenbüren,Nordrhein-Westfalen,22.6
Kleve,Nordrhein-Westfalen,22.6
Bad Kreuznach,Rheinland-Pfalz,37.3
Goslar,Niedersachsen,64.0
Gummersbach,Nordrhein-Westfalen,22.6
Ravensburg,Baden-Württemberg,34.0
Willich,Nordrhein-Westfalen,22.6
Speyer,Rheinland-Pfalz,37.3
Böblingen,Baden-Württemberg,34.0
Peine,Niedersachsen,64.0
Emden,Niedersachsen,64.0
Elmshorn,Schleswig-Holstein,100.0
Erftstadt,Nordrhein-Westfalen,22.6
Rastatt,Baden-Württemberg,34.0
Heidenheim,Baden-Württemberg,34.0
Lörrach,Baden-Württemberg,34.0
Leonberg,Baden-Württemberg,34.0
Bergkamen,Nordrhein-Westfalen,22.6
Bad Oeynhausen,Nordrhein-Westfalen,22.6
Freising,Bayern,60.0
Frankenthal,Rheinland-Pfalz,37.3
Rheda-Wiedenbrück,Nordrhein-Westfalen,22.6
Cuxhaven,Niedersachsen,64.0
